id_harga;id_saham;tanggal;close;volume
;5;2005-03-14;405;1264500
;5;2005-03-15;425;7175000
;5;2005-03-16;460;7186000
;5;2005-03-17;460;4682000
;5;2005-03-18;490;8246500
;5;2005-03-21;490;0
;5;2005-03-22;485;2046000
;5;2005-03-23;450;2634500
;5;2005-03-24;430;3623000
;5;2005-03-25;430;0
;5;2005-03-28;425;1709000
;5;2005-03-29;400;489000
;5;2005-03-30;385;670000
;5;2005-03-31;385;185500
;5;2005-04-01;380;277500
;5;2005-04-04;375;111000
;5;2005-04-05;365;153000
;5;2005-04-06;380;319000
;5;2005-04-07;375;371500
;5;2005-04-08;385;226000
;5;2005-04-11;380;18000
;5;2005-04-12;400;5223000
;5;2005-04-13;400;1269000
;5;2005-04-14;390;517000
;5;2005-04-15;390;269000
;5;2005-04-18;345;1237500
;5;2005-04-19;340;499500
;5;2005-04-20;340;32500
;5;2005-04-21;325;285000
;5;2005-04-22;325;0
;5;2005-04-25;300;684000
;5;2005-04-26;310;125000
;5;2005-04-27;315;74000
;5;2005-04-28;280;3956000
;5;2005-04-29;290;999500
;5;2005-05-02;295;50000
;5;2005-05-03;285;635000
;5;2005-05-04;300;953000
;5;2005-05-05;300;0
;5;2005-05-06;300;282500
;5;2005-05-09;295;40500
;5;2005-05-10;295;300000
;5;2005-05-11;290;102500
;5;2005-05-12;295;12500
;5;2005-05-13;295;300000
;5;2005-05-16;290;27500
;5;2005-05-17;285;175000
;5;2005-05-18;285;0
;5;2005-05-19;290;122500
;5;2005-05-20;285;14000
;5;2005-05-23;290;59500
;5;2005-05-24;290;0
;5;2005-05-25;290;0
;5;2005-05-26;290;50000
;5;2005-05-27;290;164500
;5;2005-05-30;285;500
;5;2005-05-31;290;30000
;5;2005-06-01;300;48500
;5;2005-06-02;300;296500
;5;2005-06-03;295;25500
;5;2005-06-06;295;10000
;5;2005-06-07;295;72500
;5;2005-06-08;295;0
;5;2005-06-09;295;489500
;5;2005-06-10;300;350000
;5;2005-06-13;290;50000
;5;2005-06-14;290;25000
;5;2005-06-15;295;50000
;5;2005-06-16;295;0
;5;2005-06-17;295;145000
